"Nombres del jugador";"Apellidos del jugador";Nacionalidad;"Fecha de nacimiento (YYYY-MM-DD)";"Posición en el equipo";"Número de camiseta";"Foto Jugador"
Aldair;Quintana;Colombiana;1994-07-11;portero;22;number_1.png
Alfredo;Morelos;Colombiana;1996-06-21;delantero;27;number_2.png
Baldomero;Perlaza;Colombiana;1992-06-05;delantero;25;number_3.png
Camilo;vargas;Colombiana;1989-03-09;portero;12;number_4.png
carlos;cuesta;Colombiana;1999-03-09;defensa;4;number_5.png
daniel;Muños;Colombiana;1996-05-26;defensa;16;number_6.png
David;OSPINA;Colombiana;1988-08-31;portero;1;number_7.png
Dávinson;Sánchez;Colombiana;1996-06-12;defensa;23;number_8.png
"Cristian Duvan";Zapata;Colombiana;1991-04-01;delantero;7;number_9.png
Edwin;Cardona;Colombiana;1992-12-08;centrocampista;8;number_10.png
Frank;Fabra;Colombiana;1991-02-22;defensa;26;number_11.png
Gustavo;Cuéllar;Colombiana;1992-08-14;centrocampista;18;number_12.png
Jamilton;Campaz;Colombiana;2000-05-24;centrocampista;20;number_13.png
"Jhon Janer";LUCUMÍ;Colombiana;1998-06-26;defensa;21;number_14.png
"JUAN GUILLERMO";Cuadrado;Colombiana;1998-05-26;centrocampista;11;number_15.png
Luis;Diaz;Colombiana;1979-04-09;delantero;14;number_16.png
Luis;Muriel;Colombiana;1997-01-31;delantero;19;number_17.png
Mateus;Uribe;Colombiana;1991-03-21;centrocampista;15;number_18.png
Miguel;Borja;Colombiana;1993-01-26;delantero;17;number_19.png
Oscar;Murillo;Colombiana;1988-04-08;defensa;3;number_20.png
"Rafael Santos";Borré;Colombiana;1995-09-15;delantero;18;number_21.png
Sebastián;Pérez;Colombiana;1993-03-29;centrocampista;21;number_22.png
Stefan;Medina;Colombiana;1992-06-14;defensa;3;number_23.png
Wilfran;Tesillo;Colombiana;1990-02-02;defensa;6;number_24.png
Wílmar;Barrios;Colombiana;1993-08-16;centrocampista;5;number_25.png
Yairo;Moreno;Colombiana;1995-04-04;centrocampista;17;number_26.png
Yerry;Mina;Colombiana;1994-09-23;defensa;13;number_27.png
Yimmy;Chará;Colombiana;1991-04-02;delantero;28;number_28.png
